agency,facility,legs,chargeable_legs,revenue
"HOST","MGMT",58,58,609000
"HOST","Cooper Darrow",57,57,598500
"HOST","AST Meraux Buoys",48,48,504000
"HOST","AST Chalmette Slip",96,96,480000
"HOST","Reserve Buoys",43,43,451500
"HOST","MPLX Garyville",125,125,437500
"HOST","Cooper Dockside",39,39,409500
"HOST","ARTCO Destrehan Buoys",31,31,325500
"HOST","AST Chalmette Buoys",29,29,304500
"HOST","Zen-Noh",29,29,304500
"HOST","Avondale Global Gateway",59,59,295000
"HOST","AST Arabi Dolphins",22,22,221500
"HOST","ABT Buoys",20,20,210000
"HOST","KM IMT Myrtle Grove",20,20,210000
"HOST","MPLX Mt Airy",56,56,196000
"HOST","ADM AMA",16,16,168000
"HOST","Mile 110 Buoys",16,16,168000
"HOST","Valero St Charles",47,47,164500
"HOST","CHS Myrtle Grove",13,13,136500
"HOST","Cargill Reserve",12,12,126000
"HOST","Cargill Westwego",12,12,126000
"HOST","Baton Rouge General Cargo",24,24,120000
"HOST","Bunge Destrehan",11,11,115500
"HOST","7th Street",21,21,105000
"HOST","ADM Reserve",10,10,105000
"HOST","AST Globalplex",19,19,86000
"HOST","LDC Port Allen",8,8,84000
"HOST","Valero Meraux",24,24,84000
"HOST","ADM Destrehan",7,7,73500
"HOST","ARTCO Buoys",6,6,63000
"HOST","Harmony St",12,12,60000
"HOST","Vulcan St Rose Mooring",6,6,56000
"HOST","Exxon Baton Rouge",14,14,49000
"HOST","Shintech",12,12,42000
"HOST","Vulcan Westwego",4,4,42000
"HOST","Dow Missouri",11,11,38500
"HOST","AMSTAR",3,3,31500
"HOST","CII Rain Gramercy",3,3,31500
"HOST","IMC Faustina",3,3,31500
"HOST","PBF Chalmette",9,9,31500
"HOST","Willow Glen",9,9,31500
"HOST","Genesis Baton Rouge",3,3,24500
"HOST","Louisiana Ave",3,3,15000
"HOST","Shell Norco",4,4,14000
"HOST","Venture Global",4,4,14000
"HOST","Mile 111 Buoys",1,1,10500
"HOST","1st Street",2,2,10000
"HOST","Cargill Molasses",2,2,7000
"HOST","IMTT St Rose",2,2,7000
"HOST","Plains St James",2,2,7000
"HOST","Nashville Ave",1,1,5000
"HOST","Cornerstone",1,1,3500
"HOST","(never berthed)",79,0,0
"HOST","Poland St",1,0,0
"Inchcape","Exxon Baton Rouge",240,240,840000
"Inchcape","Stolthaven",83,83,290500
"Inchcape","KMI Harvey",49,49,171500
"Inchcape","Blackwater Westwego",28,28,98000
"Inchcape","IMTT Gretna",28,28,98000
"Inchcape","Chevron Oak Point",23,23,80500
"Inchcape","Total Carville",21,21,73500
"Inchcape","IMTT St Rose",18,18,63000
"Inchcape","AST Chalmette Slip",11,11,55000
"Inchcape","Genesis Baton Rouge",14,14,49000
"Inchcape","Nashville Ave",38,38,45500
"Inchcape","Avondale Global Gateway",7,7,35000
"Inchcape","Dow Missouri",10,10,35000
"Inchcape","Valero St Charles",10,10,35000
"Inchcape","AST Chalmette Buoys",3,3,31500
"Inchcape","Venture Global",9,9,31500
"Inchcape","Zen-Noh",3,3,31500
"Inchcape","IMTT Geismar",7,7,24500
"Inchcape","KMI Seven Oaks",7,7,24500
"Inchcape","PBF Chalmette",7,7,24500
"Inchcape","Shintech",6,6,21000
"Inchcape","LBC Sunshine",5,5,17500
"Inchcape","Shell Geismar",5,5,17500
"Inchcape","Axiall Plaquemine",4,4,14000
"Inchcape","Baker Hughes",4,4,14000
"Inchcape","Blackwater Harvey",4,4,14000
"Inchcape","Dow Taft",4,4,14000
"Inchcape","Ergon St James",4,4,14000
"Inchcape","MPLX Garyville",4,4,14000
"Inchcape","Occidental Taft",4,4,14000
"Inchcape","Shell Norco",4,4,14000
"Inchcape","Sugarland St James",4,4,14000
"Inchcape","AST Arabi Dolphins",1,1,10500
"Inchcape","Americas Styrenics",3,3,10500
"Inchcape","Cornerstone",3,3,10500
"Inchcape","PCS Nitrogen",3,3,10500
"Inchcape","Plains St James",3,3,10500
"Inchcape","Cargill Molasses",2,2,7000
"Inchcape","DRAX",2,2,7000
"Inchcape","Valero Meraux",2,2,7000
"Inchcape","Louisiana Ave",1,1,5000
"Inchcape","Baton Rouge General Cargo",1,1,3500
"Inchcape","CFI Donaldsonville",1,1,3500
"Inchcape","Dow Plaquemine",1,1,3500
"Inchcape","IMTT Avondale",1,1,3500
"Inchcape","MPLX Mt Airy",1,1,3500
"Inchcape","Vulcan St Rose Mooring",1,1,3500
"Inchcape","Willow Glen",1,1,3500
"Inchcape","(never berthed)",19,0,0
"Intercruises","Julia St",39,39,97500
"Intercruises","Erato St",2,2,5000
"Intercruises","Poland St",1,0,0
"K3 Maritime","Valero St Charles",51,51,178500
"K3 Maritime","MPLX Garyville",31,31,108500
"K3 Maritime","IMTT St Rose",18,18,63000
"K3 Maritime","Valero Meraux",16,16,63000
"K3 Maritime","Exxon Baton Rouge",12,12,42000
"K3 Maritime","Apex Mt Airy",11,11,38500
"K3 Maritime","PBF Chalmette",9,9,31500
"K3 Maritime","MPLX Mt Airy",6,6,21000
"K3 Maritime","Blackwater Harvey",5,5,17500
"K3 Maritime","Shell Norco",5,5,17500
"K3 Maritime","Genesis Baton Rouge",3,3,10500
"K3 Maritime","Plains St James",3,3,10500
"K3 Maritime","Magellan Marrero",2,2,7000
"K3 Maritime","Crosstex Energy",1,1,3500
"K3 Maritime","DRAX",1,1,3500
"K3 Maritime","IMTT Gretna",1,1,3500
"K3 Maritime","NuStar St James",1,1,3500
"K3 Maritime","Shintech",1,1,3500
"K3 Maritime","Willow Glen",1,1,3500
